name,Crime_Type,Year,Victimisation_Rate
New South Wales,Physical Assult,2008,2.8
New South Wales,Physical Assult,2009,2.4
New South Wales,Physical Assult,2010,2.8
New South Wales,Physical Assult,2011,2.7
New South Wales,Physical Assult,2012,2.2
New South Wales,Physical Assult,2013,2.0
New South Wales,Physical Assult,2014,1.6
New South Wales,Physical Assult,2015,2.0
New South Wales,Physical Assult,2016,2.1
New South Wales,Physical Assult,2017,2.2
New South Wales,Physical Assult,2018,2.2
New South Wales,Physical Assult,2019,2.3
New South Wales,Physical Assult,2020,1.9
New South Wales,Physical Assult,2021,1.5
New South Wales,Physical Assult,2022,1.3
Victoria,Physical Assult,2008,3.3
Victoria,Physical Assult,2009,2.6
Victoria,Physical Assult,2010,2.0
Victoria,Physical Assult,2011,3.0
Victoria,Physical Assult,2012,2.6
Victoria,Physical Assult,2013,2.0
Victoria,Physical Assult,2014,2.1
Victoria,Physical Assult,2015,2.5
Victoria,Physical Assult,2016,2.4
Victoria,Physical Assult,2017,2.0
Victoria,Physical Assult,2018,2.4
Victoria,Physical Assult,2019,1.9
Victoria,Physical Assult,2020,1.5
Victoria,Physical Assult,2021,1.8
Victoria,Physical Assult,2022,1.6
Queensland,Physical Assult,2008,3.0
Queensland,Physical Assult,2009,3.5
Queensland,Physical Assult,2010,3.1
Queensland,Physical Assult,2011,3.1
Queensland,Physical Assult,2012,3.1
Queensland,Physical Assult,2013,2.3
Queensland,Physical Assult,2014,2.5
Queensland,Physical Assult,2015,2.6
Queensland,Physical Assult,2016,2.4
Queensland,Physical Assult,2017,3.1
Queensland,Physical Assult,2018,2.4
Queensland,Physical Assult,2019,2.7
Queensland,Physical Assult,2020,2.3
Queensland,Physical Assult,2021,2.3
Queensland,Physical Assult,2022,2.3
South Australia,Physical Assult,2008,2.8
South Australia,Physical Assult,2009,3.3
South Australia,Physical Assult,2010,2.4
South Australia,Physical Assult,2011,2.8
South Australia,Physical Assult,2012,2.6
South Australia,Physical Assult,2013,2.7
South Australia,Physical Assult,2014,2.7
South Australia,Physical Assult,2015,2.0
South Australia,Physical Assult,2016,2.2
South Australia,Physical Assult,2017,2.4
South Australia,Physical Assult,2018,2.3
South Australia,Physical Assult,2019,2.1
South Australia,Physical Assult,2020,3.0
South Australia,Physical Assult,2021,1.6
South Australia,Physical Assult,2022,1.4
Western Australia,Physical Assult,2008,3.8
Western Australia,Physical Assult,2009,3.9
Western Australia,Physical Assult,2010,3.4
Western Australia,Physical Assult,2011,3.3
Western Australia,Physical Assult,2012,3.5
Western Australia,Physical Assult,2013,2.9
Western Australia,Physical Assult,2014,2.6
Western Australia,Physical Assult,2015,3.6
Western Australia,Physical Assult,2016,2.9
Western Australia,Physical Assult,2017,2.6
Western Australia,Physical Assult,2018,2.5
Western Australia,Physical Assult,2019,3.0
Western Australia,Physical Assult,2020,2.6
Western Australia,Physical Assult,2021,2.3
Western Australia,Physical Assult,2022,1.9
Tasmania,Physical Assult,2008,4.1
Tasmania,Physical Assult,2009,2.9
Tasmania,Physical Assult,2010,3.1
Tasmania,Physical Assult,2011,4.0
Tasmania,Physical Assult,2012,2.6
Tasmania,Physical Assult,2013,3.3
Tasmania,Physical Assult,2014,2.5
Tasmania,Physical Assult,2015,2.1
Tasmania,Physical Assult,2016,2.0
Tasmania,Physical Assult,2017,2.4
Tasmania,Physical Assult,2018,2.6
Tasmania,Physical Assult,2019,2.4
Tasmania,Physical Assult,2020,2.6
Tasmania,Physical Assult,2021,1.9
Tasmania,Physical Assult,2022,1.8
Northern Territory,Physical Assult,2008,5.7
Northern Territory,Physical Assult,2009,5.3
Northern Territory,Physical Assult,2010,5.7
Northern Territory,Physical Assult,2011,4.6
Northern Territory,Physical Assult,2012,4.6
Northern Territory,Physical Assult,2013,5.0
Northern Territory,Physical Assult,2014,4.1
Northern Territory,Physical Assult,2015,5.0
Northern Territory,Physical Assult,2016,4.9
Northern Territory,Physical Assult,2017,3.7
Northern Territory,Physical Assult,2018,5.0
Northern Territory,Physical Assult,2019,2.4
Northern Territory,Physical Assult,2020,2.5
Northern Territory,Physical Assult,2021,3.5
Northern Territory,Physical Assult,2022,4.2
Australian Capital Territory,Physical Assult,2008,2.8
Australian Capital Territory,Physical Assult,2009,2.7
Australian Capital Territory,Physical Assult,2010,3.2
Australian Capital Territory,Physical Assult,2011,4.7
Australian Capital Territory,Physical Assult,2012,2.6
Australian Capital Territory,Physical Assult,2013,2.6
Australian Capital Territory,Physical Assult,2014,2.3
Australian Capital Territory,Physical Assult,2015,1.5
Australian Capital Territory,Physical Assult,2016,2.2
Australian Capital Territory,Physical Assult,2017,2.5
Australian Capital Territory,Physical Assult,2018,2.1
Australian Capital Territory,Physical Assult,2019,1.8
Australian Capital Territory,Physical Assult,2020,1.8
Australian Capital Territory,Physical Assult,2021,1.0
Australian Capital Territory,Physical Assult,2022,1.2
